4.4683 	INFO 	Loaded monitor calibration from ['2024_08_14 14:13']
4.6343 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [3840, 2160]. Using actual size
4.9433 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001592A0633A0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001592A063340>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001592A063190>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001592A18B9D0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=2, size=array([3840, 2160]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.9434 	EXP 	window1: backgroundImage = ''
4.9434 	EXP 	window1: backgroundFit = 'none'
4.9436 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001592A0634C0>
4.9437 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001592A0634C0>
4.9467 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001592A0634C0>
4.9477 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001592A0634C0>
5.1274 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001592A0634C0>
5.1276 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001592A0634C0>
5.1284 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001592A0634C0>
5.1293 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001592A0634C0>
5.1856 	EXP 	window1: Attempting to measure frame rate of screen (2) ...
5.1856 	EXP 	window1: recordFrameIntervals = False
5.3483 	EXP 	window1: recordFrameIntervals = True
5.5314 	EXP 	Screen (2) actual frame rate measured at 60.03Hz
5.5314 	EXP 	window1: recordFrameIntervals = False
5.5316 	EXP 	window1: mouseVisible = False
6.4976 	INFO 	keyboard.Keyboard is using ptb backend.
6.5560 	EXP 	TSST_fnirs_V4_CONTROL: status = STARTED
6.5563 	EXP 	window1: mouseVisible = False
