5.5019 	INFO 	Loaded monitor calibration from ['2024_08_14 14:13']
5.7026 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [3840, 2160]. Using actual size
6.0239 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019B814B33D0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019B814B3370>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019B814B31C0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000019B8160CA00>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=2, size=array([3840, 2160]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.0239 	EXP 	window1: backgroundImage = ''
6.0240 	EXP 	window1: backgroundFit = 'none'
6.0242 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000019B814B34F0>
6.0243 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000019B814B34F0>
6.0270 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000019B814B34F0>
6.0280 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000019B814B34F0>
6.2177 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000019B814B34F0>
6.2179 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000019B814B34F0>
6.2191 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000019B814B34F0>
6.2201 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000019B814B34F0>
6.2713 	EXP 	window1: Attempting to measure frame rate of screen (2) ...
6.2714 	EXP 	window1: recordFrameIntervals = False
6.4365 	EXP 	window1: recordFrameIntervals = True
6.6201 	EXP 	Screen (2) actual frame rate measured at 60.01Hz
6.6201 	EXP 	window1: recordFrameIntervals = False
6.6203 	EXP 	window1: mouseVisible = False
7.5886 	INFO 	keyboard.Keyboard is using ptb backend.
7.6556 	EXP 	TSST_fnirs_V4_CONTROL: status = STARTED
7.6562 	EXP 	window1: mouseVisible = False
7.7627 	EXP 	Created ctl1_instruction_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='ctl1_instruction_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
7.7628 	INFO 	keyboard.Keyboard is using ptb backend.
7.7629 	EXP 	window1: mouseVisible = False
7.7928 	EXP 	Sound start_tone set volume 1.000
7.7930 	EXP 	window1: mouseVisible = False
7.7956 	EXP 	Created read_number = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, languageStyle='LTR', name='read_number', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
7.7961 	EXP 	Sound start_pause_tone set volume 1.000
7.7962 	EXP 	window1: mouseVisible = False
7.7977 	EXP 	Created read_pausing = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, languageStyle='LTR', name='read_pausing', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
7.7978 	EXP 	window1: mouseVisible = False
7.8589 	EXP 	Created ctl2_instruction_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='ctl2_instruction_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
7.8593 	EXP 	Sound start_tone_2 set volume 1.000
7.8595 	EXP 	window1: mouseVisible = False
7.8609 	EXP 	Created subtract_number = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, languageStyle='LTR', name='subtract_number', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
7.8613 	EXP 	Sound start_pause_tone_2 set volume 1.000
7.8615 	EXP 	window1: mouseVisible = False
7.8628 	EXP 	Created subtract_pausing = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, languageStyle='LTR', name='subtract_pausing', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
7.8630 	EXP 	window1: mouseVisible = False
7.8714 	EXP 	Created task_end_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='task_end_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Please wait for the next task to begin..', units='height', win=Window(...), wrapWidth=1)
0.0830 	INFO 	Keyboard events cleared
0.0831 	EXP 	window1: mouseVisible = False
0.0887 	EXP 	ctl1_instruction_text: autoDraw = True
12.9330 	INFO 	Keyboard events cleared
12.9334 	EXP 	Created sequence: sequential, trialTypes=1, nReps=6, seed=None
12.9336 	EXP 	New trial (rep=0, index=0): None
12.9337 	EXP 	window1: mouseVisible = False
12.9337 	INFO 	Keyboard events cleared
12.9399 	EXP 	Sound start_tone reached end of file
12.9452 	EXP 	Sound start_tone started
12.9406 	DATA 	Keypress: return
12.9422 	EXP 	ctl1_instruction_text: autoDraw = False
12.9422 	EXP 	read_number: height = 0.07
12.9422 	EXP 	read_number: height = 0.07
12.9422 	EXP 	read_number: height = 0.07
12.9422 	EXP 	read_number: text = 1022
13.1407 	EXP 	Sound start_tone stopped
13.1408 	EXP 	Sound start_tone reached end of file
13.1451 	EXP 	read_number: autoDraw = True
22.8628 	DATA 	Keypress: space
22.8715 	EXP 	read_number: height = 0.07
22.8715 	EXP 	read_number: height = 0.07
22.8715 	EXP 	read_number: height = 0.07
22.8715 	EXP 	read_number: text = '1009'
23.1228 	DATA 	Keypress: space
