1.6382 	ERROR 	Support for the `pyo` audio backend is not available this session. Please install `psychopy-pyo` and restart the session to enable support.
1.6382 	ERROR 	Failed to load any of the audioLibs: ['pyo']. Falling back to PsychToolbox ('ptb') backend for sound. Be sure to add 'ptb' to preferences to avoid seeing this message again.
1.7621 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['pyo'] (in that order).
5.5857 	INFO 	Loaded monitor calibration from ['2024_08_14 14:13']
5.7490 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1920, 1080]. Using actual size
6.0232 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001BC27FD44C0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001BC27FD4460>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001BC27FD42B0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001BC280FDAF0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.0233 	EXP 	window1: backgroundImage = ''
6.0233 	EXP 	window1: backgroundFit = 'none'
6.0235 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001BC27FD45E0>
6.0237 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001BC27FD45E0>
6.0264 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001BC27FD45E0>
6.0273 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001BC27FD45E0>
6.1119 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001BC27FD45E0>
6.1120 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001BC27FD45E0>
6.1129 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001BC27FD45E0>
6.1138 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001BC27FD45E0>
6.1327 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.1328 	EXP 	window1: recordFrameIntervals = False
6.2001 	EXP 	window1: recordFrameIntervals = True
6.2765 	EXP 	Screen (0) actual frame rate measured at 144.08Hz
6.2765 	EXP 	window1: recordFrameIntervals = False
6.2766 	EXP 	window1: mouseVisible = False
7.2499 	INFO 	keyboard.Keyboard is using ptb backend.
7.3183 	EXP 	TSST_fnirs_V4_FULL: status = STARTED
7.3187 	EXP 	window1: mouseVisible = False
7.4019 	EXP 	Created ctl1_instruction_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='ctl1_instruction_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
7.4020 	INFO 	keyboard.Keyboard is using ptb backend.
7.4021 	EXP 	window1: mouseVisible = False
7.4311 	EXP 	Sound start_tone set volume 1.000
7.4313 	EXP 	window1: mouseVisible = False
